attempt,epoch,training_error,nonzero_params,delta_time
48,0,0.8999999962479566,7806,0.6326498985290527
48,1,0.8999999962479548,7806,0.4748499393463135
48,2,0.8999999962479528,7806,0.5110788345336914
48,3,0.899999996247951,7806,0.5343410968780518
48,4,0.8999999962479494,7806,0.4958031177520752
48,5,0.8999999962479476,7806,0.48414182662963867
48,6,0.8999999962479458,7806,0.4866030216217041
48,7,0.899999996247944,7806,0.5000500679016113
48,8,0.8999999962479422,7806,0.4982640743255615
48,9,0.8999999962479406,7806,0.5063128471374512
48,10,0.8999999962479387,7806,0.5283341407775879
48,11,0.8999999962479369,7806,0.5151481628417969
48,12,0.8999999962479351,7806,0.5628268718719482
48,13,0.8999999962479333,7806,0.5084888935089111
48,14,0.8999999962479316,7806,0.546375036239624
48,15,0.8999999962479297,7806,0.6089949607849121
48,16,0.8999999962479279,7806,0.5222721099853516
48,17,0.8999999962479263,7806,0.5476181507110596
48,18,0.8999999962479244,7806,0.5063769817352295
48,19,0.8999999962479227,7806,0.5264699459075928
48,20,0.8999999962479209,7806,0.5013580322265625
48,21,0.899999996247919,7806,0.5391170978546143
48,22,0.8999999962479173,7806,0.5493602752685547
48,23,0.8999999962479154,7806,0.5239229202270508
48,24,0.8999999962479136,7806,0.5335860252380371
48,25,0.8999999962479119,7806,0.5350198745727539
48,26,0.89999999624791,7806,0.48733997344970703
48,27,0.8999999962479083,7806,0.5364291667938232
48,28,0.8999999962479064,7806,0.5457911491394043
48,29,0.8999999962479045,7806,0.5055229663848877
48,30,0.8999999962479026,7806,0.511497974395752
48,31,0.8999999962479008,7806,0.6445667743682861
48,32,0.8999999962478991,7806,0.5359539985656738
48,33,0.8999999962478974,7806,0.5116469860076904
48,34,0.8999999962478955,7806,0.5844128131866455
48,35,0.8999999962478938,7806,0.5219869613647461
48,36,0.899999996247892,7806,0.4896678924560547
48,37,0.8999999962478903,7806,0.5050749778747559
48,38,0.8999999962478884,7806,0.5148961544036865
48,39,0.8999999962478865,7806,0.49365901947021484
48,40,0.8999999962478846,7806,0.5145440101623535
48,41,0.8999999962478827,7806,0.5415492057800293
48,42,0.8999999962478811,7806,0.48130202293395996
48,43,0.8999999962478793,7806,0.5371840000152588
48,44,0.8999999962478775,7806,0.522845983505249
48,45,0.8999999962478757,7806,0.558905839920044
48,46,0.899999996247874,7806,0.5365428924560547
48,47,0.8999999962478721,7806,0.600104808807373
48,48,0.8999999962478703,7806,0.6082918643951416
48,49,0.8999999962478683,7806,0.7849218845367432
48,0,0.8999999984511551,7813,0.18439006805419922
48,1,0.8999999984511544,7813,0.21006083488464355
48,2,0.899999998451154,7813,0.19005203247070312
48,3,0.8999999984511533,7813,0.2827169895172119
48,4,0.8999999984511524,7813,0.19016385078430176
48,5,0.8999999984511518,7813,0.19075298309326172
48,6,0.8999999984511513,7813,0.2207942008972168
48,7,0.8999999984511506,7813,0.18314170837402344
48,8,0.89999999845115,7813,0.18488812446594238
48,9,0.8999999984511495,7813,0.20569586753845215
48,10,0.8999999984511489,7813,0.18768572807312012
48,11,0.8999999984511482,7813,0.18978404998779297
48,12,0.8999999984511474,7813,0.17740511894226074
48,13,0.8999999984511468,7813,0.1769731044769287
48,14,0.8999999984511461,7813,0.18518400192260742
48,15,0.8999999984511454,7813,0.1952676773071289
48,16,0.8999999984511448,7813,0.19073796272277832
48,17,0.8999999984511443,7813,0.19989967346191406
48,18,0.8999999984511436,7813,0.19327497482299805
48,19,0.8999999984511429,7813,0.19050121307373047
48,20,0.8999999984511424,7813,0.17886590957641602
48,21,0.8999999984511418,7813,0.17755985260009766
48,22,0.8999999984511411,7813,0.1914968490600586
48,23,0.8999999984511403,7813,0.1774451732635498
48,24,0.8999999984511396,7813,0.17777800559997559
48,25,0.8999999984511392,7813,0.19062495231628418
48,26,0.8999999984511384,7813,0.1855630874633789
48,27,0.8999999984511379,7813,0.17778897285461426
48,28,0.8999999984511372,7813,0.18138790130615234
